# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.0207,   20.2687,    0.9480,    8.1703,    4.4433,   19.5931
    2.4391,   23.8191,    0.8922,    7.4163,    3.6084,   12.8284
    2.2845,   20.6807,    0.9185,    7.5770,    4.6468,   18.5502
    2.3758,   21.4937,    0.8729,    8.1372,    3.9048,   16.7315
    2.2045,   24.0129,    0.9544,    8.7600,    3.8363,   12.5690
    2.4177,   29.0254,    0.8943,    8.2260,    4.2742,    7.9359
    2.4755,   21.3308,    0.8491,    8.2195,    4.1905,   17.0730
    2.2814,   16.0587,    0.9237,    7.5401,    4.3424,   38.8732
    2.3569,   27.1434,    0.9179,    8.5002,    4.1031,    9.3029
    2.2700,   28.5476,    0.9517,    7.8944,    4.2305,    8.2516
    2.3792,   29.0766,    0.9283,    8.1903,    4.6349,    7.9032
    2.3764,   16.2156,    0.9100,    9.0901,    4.0988,   37.6893
    2.2502,   25.2652,    0.9029,    9.2323,    3.8999,   11.0744
    2.2873,   27.1403,    0.9392,    8.0981,    4.0212,    9.3054
    2.2094,   29.1428,    0.9472,    8.4336,    4.2880,    7.8612
    2.4027,   20.7659,    0.9038,    9.1579,    4.4285,   18.3454
    2.1577,   25.6681,    0.9378,    8.3180,    4.0236,   10.6521
    2.3047,   28.1637,    0.9558,    8.1453,    4.4745,    8.5198
    2.4480,   27.3666,    0.9416,    8.4090,    4.5476,    9.1222
    2.4728,   26.8231,    0.9026,    8.1883,    3.8378,    9.5721
    2.0582,   23.7214,    0.9122,    8.0382,    3.8009,   12.9625
    2.4561,   24.0129,    0.9212,    8.7099,    4.8249,   12.5689
    2.3685,   19.0211,    0.9233,    7.4396,    3.7533,   23.3825
    2.4966,   23.8448,    0.9029,    8.1702,    4.6434,   12.7936
    2.1051,   27.9788,    0.9492,    9.3731,    4.3007,    8.6538
    2.1807,   18.5264,    0.8620,    7.6508,    3.6612,   25.2119
    2.3553,   27.1543,    0.9083,    7.5089,    4.3870,    9.2939
    2.4717,   26.3494,    0.8794,    8.3138,    4.1872,    9.9933
