Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.4756,59.8933,0.8684,10.2802,4.2406,1.6786
2.1491,63.8055,0.8871,10.0843,3.818,1.4796
2.1807,68.872,0.9187,9.141,4.2064,1.2721
2.2585,64.1535,0.8855,9.6454,4.1111,1.4637
2.2513,66.0092,0.8864,9.8566,4.0059,1.3832
2.4321,56.8774,0.8577,10.4104,3.9558,1.8624
2.1394,70.4043,0.8946,9.6261,4.0718,1.2182
2.381,60.8658,0.8836,10.0483,4.0324,1.6254
2.3372,74.024,0.8882,9.6437,4.354,1.1043
2.1657,61.3829,0.8951,9.5307,3.5668,1.5981
2.2005,64.1105,0.8885,9.8413,3.7262,1.4656
2.1209,67.8059,0.8864,9.7411,3.8468,1.3118
2.3197,60.3405,0.8595,10.2232,4.0721,1.6538
2.2648,61.4831,0.8984,9.3637,3.9249,1.5929
2.2478,68.5529,0.9083,9.0406,4.2208,1.2838
2.1175,68.9412,0.9118,9.3134,3.8015,1.2696
2.4391,58.6435,0.8696,10.127,3.8476,1.7512
2.0656,65.2989,0.8784,9.9503,3.5955,1.4132
2.4341,55.9305,0.863,10.6701,3.9842,1.9266
2.3312,97.4097,0.8671,9.8291,4.1601,0.6507
2.2666,69.6313,0.8549,10.6841,3.6183,1.2449
2.1677,58.8616,0.886,10.0627,3.6054,1.7382
2.1323,69.9408,0.9084,9.2398,4.1182,1.2341
2.1883,67.3369,0.8862,9.7431,3.9927,1.3299
2.1562,71.9383,0.8917,9.7926,3.6877,1.1678
2.1793,68.646,0.9179,9.0986,3.8915,1.2803
2.1829,64.2912,0.8939,9.7846,3.954,1.4574
2.2158,66.12,0.8957,9.5515,4.1767,1.3787
2.2842,64.5916,0.8554,10.6595,3.683,1.444
2.3204,68.1548,0.89,9.8131,4.3348,1.2986
2.2223,59.4616,0.8894,9.5532,3.5999,1.7031
2.1337,62.2275,0.9023,9.7043,3.7443,1.5552
2.2886,59.5322,0.865,10.2111,3.7159,1.6991
2.0743,78.549,0.8835,9.716,4.0043,0.9839
2.165,75.6001,0.8992,9.6315,3.8411,1.0599
2.4674,54.9207,0.854,10.67,3.8316,1.9991
2.226,71.6431,0.9059,9.4219,4.2042,1.1773
2.0748,70.1892,0.8804,9.8094,4.0332,1.2256
2.1292,68.4955,0.8997,9.5687,3.908,1.2859
2.3479,58.1523,0.8596,10.4114,3.901,1.781
2.3426,67.2695,0.9009,9.5238,4.4708,1.3325
2.2517,63.4792,0.8911,9.7292,4.0194,1.4947
2.2634,61.1573,0.8624,10.3721,3.8461,1.6099
2.0988,71.1625,0.9258,8.8912,4.0578,1.1929
2.2838,60.9424,0.8834,9.8082,3.871,1.6213
2.2993,74.9116,0.8885,9.5753,4.316,1.079
2.1203,70.5546,0.9188,8.9368,4.106,1.2131
2.2023,68.8389,0.9005,9.3265,4.2443,1.2733
2.4315,60.8498,0.8736,10.1135,4.2212,1.6262
2.2027,59.6121,0.864,10.8403,3.8695,1.6945
2.1066,79.1218,0.9138,9.1457,4.3843,0.9701
2.2905,75.1631,0.8939,9.5491,4.2502,1.0719
2.0631,70.8748,0.9016,9.5122,3.9116,1.2024
2.2379,59.8647,0.8559,10.4789,3.6863,1.6802
2.3705,71.9165,0.8753,10.0941,3.8715,1.1685
