Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.47E+00,3.30E+01,9.46E-01,8.72E+00,4.14E+00,5.923333312
2.50E+00,2.29E+01,9.54E-01,9.14E+00,4.44E+00,14.23244334
2.46E+00,2.80E+01,9.58E-01,9.19E+00,4.45E+00,8.645675998
2.45E+00,3.13E+01,9.37E-01,8.78E+00,4.75E+00,6.658896651
2.39E+00,3.28E+01,9.52E-01,8.63E+00,4.29E+00,5.984985596
2.42E+00,2.93E+01,9.54E-01,8.40E+00,4.59E+00,7.768698834
2.49E+00,2.93E+01,9.19E-01,9.10E+00,4.35E+00,7.763316929
2.49E+00,3.08E+01,9.45E-01,8.58E+00,4.40E+00,6.916161229
2.49E+00,2.74E+01,9.54E-01,9.71E+00,3.82E+00,9.117654047
2.49E+00,3.15E+01,9.07E-01,8.90E+00,4.50E+00,6.567884255
2.49E+00,2.89E+01,9.49E-01,8.95E+00,4.68E+00,7.984788777
2.48E+00,2.93E+01,9.50E-01,9.12E+00,4.18E+00,7.74171894
2.47E+00,2.83E+01,9.21E-01,8.91E+00,4.43E+00,8.390239063
2.39E+00,2.20E+01,9.39E-01,1.00E+01,3.98E+00,15.71095461
2.48E+00,3.13E+01,9.12E-01,8.76E+00,4.51E+00,6.673110199
2.43E+00,2.71E+01,9.57E-01,8.83E+00,4.25E+00,9.371266291
2.49E+00,2.89E+01,9.52E-01,8.60E+00,4.48E+00,8.02311496
2.48E+00,2.98E+01,9.13E-01,9.05E+00,4.48E+00,7.437653321
2.48E+00,2.26E+01,9.15E-01,9.93E+00,4.00E+00,14.67823761
2.45E+00,2.96E+01,9.36E-01,8.71E+00,4.48E+00,7.606855734
2.46E+00,3.10E+01,9.50E-01,8.66E+00,4.37E+00,6.816643327
2.41E+00,2.70E+01,9.34E-01,9.16E+00,4.49E+00,9.462202704
2.44E+00,3.15E+01,9.44E-01,8.75E+00,4.38E+00,6.549983119
2.49E+00,2.87E+01,9.48E-01,8.82E+00,4.62E+00,8.140603449
