# Infill density,Matrix resistivity (kohm.cm)
21.4919,16.42088367
21.7604,15.89437428
22.1753,15.1312933
21.9907,15.46355291
21.7968,15.82503739
21.6739,16.06106894
22.5075,14.56089734
22.7568,14.15466853
21.7763,15.86402853
21.6702,16.0682603
22.7064,14.23534925
21.8309,15.76051101
22.5484,14.4930073
21.6619,16.08441065
21.4058,16.59552747
22.3209,14.87705657
21.8669,15.69283594
22.1982,15.09085733
22.7565,14.15514665
21.9396,15.55755157
21.7659,15.88386703
22.1163,15.23625969
22.1352,15.20251087
22.0007,15.44526207
21.7222,15.96765361
22.4771,14.61168208
22.6067,14.39708955
21.3282,16.75543893
22.5652,14.46526465
22.0781,15.30483132
21.6482,16.11112421
22.1408,15.19253374
22.2886,14.93287546
22.4561,14.64692605
22.6346,14.35153896
22.4495,14.65803026
21.6573,16.09337242
22.0841,15.2940289
21.4585,16.48828799
22.3337,14.85502686
21.8897,15.65021045
21.7951,15.82826508
21.3296,16.75253256
21.9132,15.606466
21.7899,15.83814444
22.2209,15.0509415
21.5925,16.2204531
21.6484,16.11073373
21.8427,15.73827829
22.4377,14.67791618
22.7981,14.08908839
21.3286,16.75460846
21.365,16.67930478
21.2956,16.8233401
22.3078,14.89965568
22.1842,15.11555785
21.6735,16.06184614
22.7808,14.11650089
22.2778,14.95161265
22.0967,15.27138272
21.8345,15.75372293
21.7152,15.98113919
22.5064,14.56273011
22.8275,14.04269405
21.3075,16.79850416
21.5718,16.26138017
22.2545,14.99216221
21.758,15.89896268
22.7535,14.15992923
22.2924,14.9262915
22.2448,15.00909422
21.7821,15.85298162
21.7916,15.83491359
21.9288,15.57753292
21.911,15.61055308
22.6769,14.2829082
22.6314,14.35675192
22.5757,14.44796776
21.7421,15.92941335
22.2648,14.97421563
21.4568,16.49173035
21.409,16.58898462
22.2293,15.03621284
21.6594,16.0892802
21.892,15.6459206
21.8194,15.78222593
22.4768,14.61218462
22.3288,14.86345406
22.3498,14.82739019
22.5612,14.47186249
21.3035,16.80684596
21.6487,16.11014804
22.1789,15.12492531
21.4526,16.50023983
21.8736,15.68029116
21.8995,15.63194474
22.4555,14.64793498
22.6328,14.35447089
22.2079,15.07378049
21.3864,16.63528027
21.3981,16.6112878
21.8162,15.78827668
21.9684,15.50446402
21.9278,15.57938508
22.0568,15.34327668
22.2892,14.93183558
22.303,14.90794975
22.6434,14.33721863
21.8437,15.73639642
21.3081,16.79725345
22.283,14.94258644
22.7769,14.12269214
22.2816,14.94501574
22.1086,15.2500429
21.7641,15.88730457
21.382,16.64431715
21.9484,15.54130017
22.2392,15.01888306
22.0129,15.42299316
22.3319,14.8581217
22.3115,14.89326727
21.9236,15.58716792
21.4892,16.42631645
22.131,15.21000047
22.6171,14.38008365
22.3194,14.87964153
21.4609,16.48343011
22.7741,14.12713977
22.5528,14.48573331
22.2663,14.97160486
21.6355,16.13595007
21.4309,16.54431537
22.1947,15.09702652
22.3312,14.85932552
22.0158,15.41770713
22.8667,13.98120663
21.7058,15.99927652
22.4415,14.67150762
21.97,15.50152305
21.8221,15.77712343
22.5213,14.53793503
21.5398,16.32496852
21.5366,16.3313488
21.9957,15.45440325
22.0759,15.3087952
21.5811,16.24297263
22.3456,14.83459198
22.0078,15.43229617
21.9298,15.5756811
22.5881,14.42758269
21.9879,15.46868043
21.9434,15.55053065
22.459,14.64205109
22.219,15.05427612
21.9241,15.58624107
22.1847,15.11467459
22.3954,14.74955094
22.1433,15.18808297
22.0868,15.28917172
21.9498,15.53871717
21.8461,15.73188138
21.9152,15.60275192
22.0295,15.3927736
21.4707,16.46361703
22.3229,14.87361105
21.7249,15.9624568
21.9916,15.46190535
22.0458,15.36319043
21.9553,15.5285762
22.0246,15.40168416
22.0378,15.37769862
22.326,14.86827297
21.511,16.38253208
21.4492,16.5071335
21.4038,16.59961881
22.5813,14.43875601
22.3938,14.75227129
21.5836,16.23802994
22.2548,14.99163902
22.5728,14.45274176
22.2707,14.96395072
22.8403,14.02256998
21.4243,16.55775746
22.2151,15.06112449
22.2747,14.95699773
22.684,14.27143906
22.1035,15.2591828
22.3422,14.84042602
21.752,15.91044277
21.7311,15.95053341
22.5627,14.46938775
21.9783,15.48628077
21.9037,15.62412681
21.7672,15.88138509
21.7441,15.92557805
21.6131,16.17988387
22.4112,14.72272973
21.9317,15.5721636
21.6183,16.16966825
21.461,16.48322774
21.5741,16.25682473
21.8928,15.64442891
21.5265,16.35151221
22.746,14.17189678
22.2056,15.0778269
21.8173,15.78619632
21.6601,16.0879165
22.2184,15.05532939
21.5978,16.21000015
21.4643,16.47655195
21.9484,15.54130017
21.4274,16.55144162
22.0566,15.34363839
21.7784,15.86002739
21.8858,15.65748877
22.0475,15.3601102
21.3994,16.60862532
22.3153,14.88671067
22.8312,14.03687229
22.1216,15.22678389
21.4971,16.41042846
22.0284,15.39477323
22.7893,14.10302188
21.5799,16.24534596
22.836,14.02932536
22.4713,14.62140282
22.4708,14.62224129
21.5915,16.22242653
21.5824,16.24040214
21.8159,15.78884413
22.841,14.02147075
21.4361,16.53373669
22.5567,14.47929069
21.7321,15.94861159
21.6367,16.13360175
21.8878,15.65375564
21.8548,15.71553136
22.0529,15.35033238
21.6334,16.14006091
22.6886,14.26401606
21.5491,16.30644802
22.8239,14.04836211
21.5123,16.37992687
22.0644,15.32954172
22.332,14.85794974
22.7862,14.10793541
22.3474,14.83150482
22.0049,15.43759004
21.9078,15.61650093
22.2071,15.07518775
22.1556,15.16621496
21.5626,16.27962199
22.3522,14.82327734
21.5956,16.21433783
21.6566,16.09473685
22.4327,14.68635518
22.6073,14.39610758
21.5324,16.33972885
22.2861,14.9372095
21.9591,15.52157578
22.5601,14.47367772
21.8973,15.6360423
21.5761,16.2528651
22.486,14.59678546
22.773,14.12888765
22.7762,14.12380384
21.3943,16.61907427
21.3807,16.6469886
22.7667,14.13890479
21.63,16.14672004
21.6189,16.16849017
21.7691,15.87775874
21.3844,16.63938699
22.3464,14.83321978
21.8074,15.80493503
21.5569,16.29094008
22.6162,14.38155407
22.815,14.06239022
22.6366,14.34828237
22.3327,14.85674609
21.5065,16.39155514
22.4727,14.61905551
21.7917,15.83472357
21.5326,16.33932964
22.2196,15.05322295
21.6592,16.08966987
22.7328,14.19299824
22.2931,14.92507916
21.629,16.14867943
21.9989,15.44855192
21.9885,15.46758145
21.5707,16.26355957
22.3733,14.78719543
21.4353,16.53536349
21.4899,16.42490768
21.6819,16.04553729
22.692,14.25853339
22.6313,14.35691487
21.3277,16.75647711
22.2333,15.02920713
21.8879,15.65356902
22.4307,14.68973291
21.9119,15.60888089
21.5227,16.35910856
21.7078,15.99541481
22.5503,14.48986556
21.8454,15.73319806
21.5279,16.34871495
21.5679,16.2691092
22.2963,14.91953901
21.9626,15.5151324
21.861,15.70389588
21.5019,16.40078677
21.4936,16.41746447
22.7055,14.23679653
21.7826,15.85202987
21.9721,15.49766434
22.0708,15.3179904
22.7591,14.15100379
22.5565,14.47962097
22.2033,15.08187501
22.0043,15.43868568
22.7895,14.10270497
22.6502,14.32616825
21.4909,16.42289548
22.2639,14.97578243
22.7645,14.14240546
21.9101,15.61222556
21.8282,15.76560509
22.2831,14.94241294
22.2956,14.92075064
21.7011,16.00835729
21.8317,15.75900215
21.6626,16.08304759
21.5586,16.28756322
21.959,15.52175994
21.8653,15.69583404
21.6531,16.10156174
21.3253,16.76146179
22.8725,13.97214486
22.1635,15.15219568
21.6914,16.02712403
21.7984,15.8220005
21.8931,15.64386958
22.8159,14.06097065
21.4706,16.46381902
22.145,15.18505762
22.5817,14.43809838
22.6564,14.31610455
21.4668,16.47149735
22.4555,14.64793498
22.836,14.02932536
22.0419,15.37026049
22.0303,15.39131958
21.8336,15.75541952
22.8578,13.99512969
22.4075,14.72900379
21.8635,15.69920797
21.8485,15.72736836
22.2186,15.05497829
21.3292,16.75336287
21.4528,16.49983446
21.9304,15.57457018
22.1227,15.22481837
22.0228,15.40495946
21.3002,16.81373283
21.7707,15.87470597
21.5816,16.24198391
22.2093,15.0713183
21.6474,16.11268627
22.7902,14.10159587
22.0926,15.27874594
22.0193,15.41133123
22.71,14.22956245
22.6844,14.27079334
22.1143,15.23983786
22.3001,14.91296427
21.5365,16.33154825
21.4787,16.44747077
21.3611,16.68734762
22.4216,14.70511698
22.1285,15.21446131
22.662,14.30702427
22.0603,15.33694898
21.7911,15.83586373
21.8064,15.80682977
22.5218,14.53710413
21.8578,15.7098996
22.8444,14.01613355
22.6352,14.35056187
21.499,16.4066109
22.7613,14.14749978
22.2179,15.05620722
22.5233,14.53461187
21.507,16.39055219
